geocode;UF;name_muni;hierarquia
1200203;AC;Cruzeiro do Sul;Centro Sub-Regional B
2706703;AL;Arranjo Populacional de Penedo/AL;Centro Sub-Regional B
2402006;RN;Caic�;Centro Sub-Regional B
2516201;PB;Sousa;Centro Sub-Regional B
2313401;CE;Tiangu�;Centro Sub-Regional B
3143104;MG;Monte Carmelo;Centro Sub-Regional B
3539509;SP;Pitangueiras;Centro Sub-Regional B
1303403;AM;Parintins;Centro Sub-Regional B
2103307;MA;Cod�;Centro Sub-Regional B
2916401;BA;Itapetinga;Centro Sub-Regional B
4124103;PR;Santo Ant�nio da Platina;Centro Sub-Regional B
2309607;CE;Pacajus;Centro Sub-Regional B
1100189;RO;Pimenta Bueno;Centro Sub-Regional B
3510203;SP;Arranjo Populacional de Cap�o Bonito/SP;Centro Sub-Regional B
4308508;RS;Frederico Westphalen;Centro Sub-Regional B
1502202;PA;Capanema;Centro Sub-Regional B
5210000;GO;Inhumas;Centro Sub-Regional B
2506301;PB;Arranjo Populacional de Guarabira/PB;Centro Sub-Regional B
2311306;CE;Quixad�;Centro Sub-Regional B
3203908;ES;Nova Ven�cia;Centro Sub-Regional B
2909802;BA;Cruz das Almas;Centro Sub-Regional B
5105150;MT;Ju�na;Centro Sub-Regional B
4205506;SC;Fraiburgo;Centro Sub-Regional B
3111200;MG;Campo Belo;Centro Sub-Regional B
2708600;AL;S�o Miguel dos Campos;Centro Sub-Regional B
4321808;RS;Tr�s de Maio;Centro Sub-Regional B
2307601;CE;Limoeiro do Norte;Centro Sub-Regional B
3523206;SP;Itarar�;Centro Sub-Regional B
2311801;CE;Russas;Centro Sub-Regional B
5100201;MT;�gua Boa;Centro Sub-Regional B
4108809;PR;Gua�ra;Centro Sub-Regional B
2601102;PE;Arranjo Populacional de Araripina/PE;Centro Sub-Regional B
2915601;BA;Itamaraju;Centro Sub-Regional B
2903904;BA;Bom Jesus da Lapa;Centro Sub-Regional B
2930501;BA;Serrinha;Centro Sub-Regional B
2610004;PE;Palmares;Centro Sub-Regional B
5003306;MS;Coxim;Centro Sub-Regional B
4119608;PR;Pitanga;Centro Sub-Regional B
4217709;SC;Arranjo Populacional de Sombrio/SC;Centro Sub-Regional B
4320107;RS;Sarandi;Centro Sub-Regional B
2914703;BA;Itaberaba;Centro Sub-Regional B
2108603;MA;Pinheiro;Centro Sub-Regional B
2709301;AL;Uni�o dos Palmares;Centro Sub-Regional B
2612208;PE;Salgueiro;Centro Sub-Regional B
2400208;RN;A�u;Centro Sub-Regional B
3145604;MG;Oliveira;Centro Sub-Regional B
4309407;RS;Guapor�;Centro Sub-Regional B
